claim_id	document	statement	claim_status	evidence_scope	evidence_ids	counterevidence_ids	conditions	artifact_handles	limitations	next_discriminator
INFER-002	10_inference_evaluation_and_artifact_lessons.md	Grammar-constrained output is interpreted as natural rollout behavior	reusable_lesson	Historical free-decode diagnostics and painted-GT decode contract.	source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:b719064e39af1f944ad13e601880a58c94ff283044a09b033cc4f8b62af5dde5;source_coverage.tsv#progress:aece6302e216f651e3065e3c599005a02912562409b9930e97b75608d81b8f14	-	Record `decode_surface` and effective backend kwargs. Keep grammar/trie rows as sensitivity panels; do not mix them into primary free-generation gates.	Historical free-decode diagnostics and painted-GT decode contract.	Currentity depends on backend/spec; historical constrained rows are not primary evidence.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-003	10_inference_evaluation_and_artifact_lessons.md	Invalid or malformed rows are removed before scoring	reusable_lesson	Painted-GT decode/eval OpenSpec and native baseline benchmark.	source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:b719064e39af1f944ad13e601880a58c94ff283044a09b033cc4f8b62af5dde5	-	Invalid, malformed, unparseable, empty, and truncated outputs remain in recall/debug denominators. Parseable-only tables are secondary diagnostics.	Painted-GT decode/eval OpenSpec and native baseline benchmark.	Reusable contract; verify implementation in the target worktree.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-004	10_inference_evaluation_and_artifact_lessons.md	Confidence post-op or visualization is treated as a new inference run	reusable_lesson	`docs/eval/WORKFLOW.md`; infer comparison galleries and A5/A6 poor-IoU manifests.	source_coverage.tsv#progress:753b109d7a466e439a68b7f7ac746cf6bd47bbfc3d074758d4407615a191f94b;source_coverage.tsv#progress:2fd0660273b1007c22964a5e4f37869a5360600ff276ab9331b63adc9defe492;source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084	-	Distinguish parent inference artifacts from child post-op/visualization views. Preserve parent run identity and never count transformed children as independent runs.	`docs/eval/WORKFLOW.md`; infer comparison galleries and A5/A6 poor-IoU manifests.	Current evaluation workflow rule.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-005	10_inference_evaluation_and_artifact_lessons.md	Val200 rows are compared despite different order, dataset, wrapper, or decode	reusable_lesson	`progress/benchmarks/stage1_2b_val200_leaderboard.md` and coordinate-token snapshot.	source_coverage.tsv#progress:aece6302e216f651e3065e3c599005a02912562409b9930e97b75608d81b8f14;source_coverage.tsv#progress:753b109d7a466e439a68b7f7ac746cf6bd47bbfc3d074758d4407615a191f94b;source_coverage.tsv#progress:2fd0660273b1007c22964a5e4f37869a5360600ff276ab9331b63adc9defe492	-	Use `comparable_group` plus dataset/slice/row-id, template/order, checkpoint/export, decode, parser, and evaluator identity. Reject cross-group topline claims.	`progress/benchmarks/stage1_2b_val200_leaderboard.md` and coordinate-token snapshot.	Reusable registry rule.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-006	10_inference_evaluation_and_artifact_lessons.md	Duplicate predictions are described as hallucination without manual or class-aware review	reusable_lesson	`outputs/research/qwen3-vl-dense-enumeration/.../mask-reset-vs-full-bag.../manual-review.md`; Stage-2 duplication registry.	source_coverage.tsv#output:9390c0012ba1f0ba3b359b3296f118a7386eb7b0adb4b2924683ac9952631330;source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:b719064e39af1f944ad13e601880a58c94ff283044a09b033cc4f8b62af5dde5	-	Separate exact duplicate, near duplicate, fragmented localization, category mismatch, real unlabeled entity, and unsupported hallucination. Report exact/near thresholds and affected rows.	`outputs/research/qwen3-vl-dense-enumeration/.../mask-reset-vs-full-bag.../manual-review.md`; Stage-2 duplication registry.	Reusable taxonomy; thresholds remain study-specific.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-007	10_inference_evaluation_and_artifact_lessons.md	Oracle-K is treated as a deployable ensemble result	reusable_lesson	`progress/benchmarks/2026-03-11_stage2_oracle_k_first200.md` and current evaluation workflow.	source_coverage.tsv#progress:b719064e39af1f944ad13e601880a58c94ff283044a09b033cc4f8b62af5dde5;source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44	-	Oracle-K is additive support/recoverability analysis. Preserve baseline-FN denominator, K, temperature/seed arms, record order, and `ever_recovered`/`recover_fraction`; do not call it single-decode quality.	`progress/benchmarks/2026-03-11_stage2_oracle_k_first200.md` and current evaluation workflow.	Historical and current workflow distinction.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-008	10_inference_evaluation_and_artifact_lessons.md	A sampling or repetition-penalty sweep is generalized from one checkpoint	reusable_lesson	`progress/benchmarks/2026-03-11_stage2_rollout_temperature_refinement.md`; native text-coordinate sweep.	source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:88e9b9c55b39481b10ee3fda7684edce4559314ee0ca73440a5ea4ec1ddd1dfa;source_coverage.tsv#progress:4edf975bda903e39b43ac1f6e3c5c7fcfde02879baac9a465a7cf7f7d95652de	-	Keep checkpoint, subset, seed, batch, max tokens, stop policy, and parser fixed. Decode policy is a factor, not a universal recommendation.	`progress/benchmarks/2026-03-11_stage2_rollout_temperature_refinement.md`; native text-coordinate sweep.	Reusable experimental-design lesson.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-009	10_inference_evaluation_and_artifact_lessons.md	Row-level visualization is promoted to population evidence	reusable_lesson	Infer `vis_poor_raw_iou50_top12/manifest.md` and painted-GT route reports.	source_coverage.tsv#output:8b013cf114d40ac02215ffb134720f5ce3e831beed090fec7731899048c85256;source_coverage.tsv#output:01b2dee2ab21101a0385d5554e95ac91e0f94bba571353c3116001d20a058d6a;source_coverage.tsv#progress:e4d6cd12db604a423e1671b26651e73c19b5738dbc5d36779db0d194b96661f5	-	Galleries and no-GPU route reports are selection/diagnostic receipts. They need population metrics, denominators, and matching rules before supporting a broad claim.	Infer `vis_poor_raw_iou50_top12/manifest.md` and painted-GT route reports.	Receipt-vs-result boundary.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
INFER-010	10_inference_evaluation_and_artifact_lessons.md	A self-prefix improvement claim lacks a frozen paired baseline	reusable_lesson	Painted-GT decode/eval OpenSpec; current research-unit contracts.	source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:b719064e39af1f944ad13e601880a58c94ff283044a09b033cc4f8b62af5dde5;source_coverage.tsv#progress:aece6302e216f651e3065e3c599005a02912562409b9930e97b75608d81b8f14	-	Require matched slice, schedule, source, model/tokenizer/processor, decode, and condition identities. Without frozen self-prefix, report safety only, not improvement/degradation.	Painted-GT decode/eval OpenSpec; current research-unit contracts.	Contract reference; execution must be revalidated.	Reapply the reusable guard in 10_inference_evaluation_and_artifact_lessons.md and verify it against the current owner before execution.
LEGACY-001	12_legacy_design_lineage.md	Historical Stage-1 JSON/coordinate-token SFT with softCE, W1, and gate	historical_lineage	Executed historical training and val200 notes; source `progress/pretrain/stage1_foundation.md` and Stage-1 benchmark notes.	source_coverage.tsv#progress:23fa91b8ad3e32f0bb21e5d124d3e24730fd1f6a981fcc63205be9c9f9b7ecd1;source_coverage.tsv#output:ec1c32dd7391e7cc05c88268e43414944d3ce1a72fc4b46f6cbf7362286e11f5;source_coverage.tsv#output:ceb01eec05fd9ba111bf5ee84118ac78142de76040d8b3261ce1c98b23a2e85c	-	Data/order/label-mask/loss vocabulary and the teacher-forcing vs free-rollout distinction.	Executed historical training and val200 notes; source `progress/pretrain/stage1_foundation.md` and Stage-1 benchmark notes.	Old config paths, model sizes, and scalar values are not current defaults.	Revalidate the reusable part against current docs/spec authority before reviving this lineage.
LEGACY-002	12_legacy_design_lineage.md	Old compact recursive-detection and prefix-roll-in families	historical_lineage	Both planning/contract docs and executed benchmark rows exist; current training router distinguishes production comparator, ablation, and legacy bridge.	source_coverage.tsv#progress:23fa91b8ad3e32f0bb21e5d124d3e24730fd1f6a981fcc63205be9c9f9b7ecd1;source_coverage.tsv#output:ec1c32dd7391e7cc05c88268e43414944d3ce1a72fc4b46f6cbf7362286e11f5;source_coverage.tsv#output:dfba8108b9185e0909f41ead75c64e8b2a35ec68e21003a84b0393b915fdb880	-	Comparable-group discipline, EOS/continuation failure taxonomy, and explicit packing support status.	Both planning/contract docs and executed benchmark rows exist; current training router distinguishes production comparator, ablation, and legacy bridge.	A proposal or ablation config is not production behavior; empirical EOS priors and removed routes must not be copied.	Revalidate the reusable part against current docs/spec authority before reviving this lineage.
LEGACY-003	12_legacy_design_lineage.md	Stage-2 `stage2_ab` / rollout-matching design line	historical_lineage	Historical `progress/benchmarks` and diagnostics are executed; current `docs/training/STAGE2_RUNBOOK.md` is the current owner.	source_coverage.tsv#progress:23fa91b8ad3e32f0bb21e5d124d3e24730fd1f6a981fcc63205be9c9f9b7ecd1;source_coverage.tsv#progress:8f1ded4e1beeee74cbeac7f1da67a906c937a542ee4bca06341540d855cde4eb;source_coverage.tsv#progress:8714b5aee8945a7337e3d506029639ed5e3a366f4d0bebce54ef5f7cef4a5566	-	Channel-A/Channel-B conceptual vocabulary, rollout-aligned diagnostics, and failure counters.	Historical `progress/benchmarks` and diagnostics are executed; current `docs/training/STAGE2_RUNBOOK.md` is the current owner.	Old `n_softctx_iter`, soft-context, or decode knobs are not current entrypoints without revalidation.	Revalidate the reusable part against current docs/spec authority before reviving this lineage.
LEGACY-004	12_legacy_design_lineage.md	Stage-2 unlikelihood and pseudo-positive experiments	historical_lineage	Executed checkpoints and diagnostics; one UL capture bug was fixed between related runs.	source_coverage.tsv#progress:23fa91b8ad3e32f0bb21e5d124d3e24730fd1f6a981fcc63205be9c9f9b7ecd1;source_coverage.tsv#progress:15b5f204034cca7ffe9b7734ec72583a29ecbfa81cfca552592bc20e91a99ca7;source_coverage.tsv#progress:14a957a60712bef5bb32b40aacd1e6dafa452a5b58f3107f84d37bb1c8c2efb9	-	Need to record capture-version, candidate validity, and rollout denominators.	Executed checkpoints and diagnostics; one UL capture bug was fixed between related runs.	The post-fix v2 result cannot be attributed to the objective alone when pre-fix capture and truncation differed.	Revalidate the reusable part against current docs/spec authority before reviving this lineage.
LEGACY-005	12_legacy_design_lineage.md	Oracle-K and temperature sweeps	historical_lineage	Executed additive analyses with fixed first-200 slices; planning notes propose follow-up controls.	source_coverage.tsv#progress:23fa91b8ad3e32f0bb21e5d124d3e24730fd1f6a981fcc63205be9c9f9b7ecd1;source_coverage.tsv#progress:452290b4caef52a6aae80cf5fa2e5387464d2de2930e848336737cc8b40f1ca0;source_coverage.tsv#output:f6f9af7ca6fbd024cc303dcb151b8b08124c6471d5c155f873cc7599dc355355	-	Recoverable-vs-systematic FN split and diversity as a probe of latent support.	Executed additive analyses with fixed first-200 slices; planning notes propose follow-up controls.	Best-of-K is not a single-decode detector, and a temperature from one checkpoint is not a global policy.	Revalidate the reusable part against current docs/spec authority before reviving this lineage.
LEGACY-006	12_legacy_design_lineage.md	Painted-GT transcription/steering proposal	historical_lineage	OpenSpec/design/tasks contain intended contract; output reports contain bounded executed route/debug evidence; several larger gates remain planning or not promoted.	source_coverage.tsv#progress:23fa91b8ad3e32f0bb21e5d124d3e24730fd1f6a981fcc63205be9c9f9b7ecd1;source_coverage.tsv#output:2860abd12bc4395ca0cb2fd2af9582eb6c46a7e8e8525d0f6871b56a831af4bd;source_coverage.tsv#output:b8aaf19560eac67e44a570f8c3663717d10fb9bf3688ad76d160e95ff9782ab9	-	Offline materialization, geometry audit, raw-prefix preservation, control identities, denominator-bearing debug metrics.	OpenSpec/design/tasks contain intended contract; output reports contain bounded executed route/debug evidence; several larger gates remain planning or not promoted.	OpenSpec “SHALL” text is not proof that a GPU gate ran; route reports are not final mAP or architecture promotion.	Revalidate the reusable part against current docs/spec authority before reviving this lineage.
LEGACY-007	12_legacy_design_lineage.md	Model-card, smoke-checkpoint, and visualization-manifest surfaces	historical_lineage	Physically present output receipts, often generic or selection-only.	source_coverage.tsv#progress:23fa91b8ad3e32f0bb21e5d124d3e24730fd1f6a981fcc63205be9c9f9b7ecd1;source_coverage.tsv#output:5347f691fbe5dfaf00af96ccecffc8b8366a4a77bf52f514de26cc20355a2ccf;source_coverage.tsv#output:4eb5c7385b1e7914fa3c1257f9a925e4a9560e9da6ffcc509c789a6cf5f8b0a6	-	Provenance handles, checkpoint/base metadata, selected-image indices, and artifact paths.	Physically present output receipts, often generic or selection-only.	A generic README or gallery does not establish training settings, population metrics, or causal mechanism.	Revalidate the reusable part against current docs/spec authority before reviving this lineage.
PFX-001	06_prefix_history_and_route_capsule.md	route attribution is prefix- and model-dependent	historical_selected_evidence	Claim paragraph and evidence tables in 06_prefix_history_and_route_capsule.md	source_coverage.tsv#output:c1d32dc97c4abd2dfb738f9bcff0c4787969b82d32b04e201cd8c3290e5d53d5;source_coverage.tsv#output:ec851fc88a6899577a2c5b114d31d68a6a7f47d20ee62e55d266565cf6495c9a;source_coverage.tsv#output:99b4ccc3dc564bcc30537fcad7fee5d21ec9d17f33b2daeaee6b2b5dd49be86b	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under PFX-001 in 06_prefix_history_and_route_capsule.md.	The v7 image-2157 knife x2 reduction reported random `all_prefix +0.3525`, `current_box_start +0.2399`, and `current_partial +0.2289`, while sorted gave `all_prefix +0.0312` and `current_box_start +0.0675`, and pure CE gave `all_prefix −0.1097` and `current_box_start −0.1403`. These incompatible signs falsify a universal box-start anchor.	Use the bounded next-probe guidance in 06_prefix_history_and_route_capsule.md; do not repeat the historical arm without changing its declared discriminator.
PFX-002	06_prefix_history_and_route_capsule.md	v7 is superseded by a prefix-position error	historical_selected_evidence	Claim paragraph and evidence tables in 06_prefix_history_and_route_capsule.md	source_coverage.tsv#output:c1d32dc97c4abd2dfb738f9bcff0c4787969b82d32b04e201cd8c3290e5d53d5;source_coverage.tsv#output:ec851fc88a6899577a2c5b114d31d68a6a7f47d20ee62e55d266565cf6495c9a;source_coverage.tsv#output:99b4ccc3dc564bcc30537fcad7fee5d21ec9d17f33b2daeaee6b2b5dd49be86b	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under PFX-002 in 06_prefix_history_and_route_capsule.md.	The v7 route map ended at `<|box_start|>` rather than after forced x1/y1. The v9 prefix-fixed reduction is the usable comparison: random `prompt_non_image +0.1401`, `current_box_start −0.0104`, `current_forced_coords −0.0379`, `all_prefix +0.0235`; sorted `all_prefix −0.0143`, `current_box_start +0.0003`, `current_forced_coords +0.0438`. Any v7 causal wording must be marked superseded.	Use the bounded next-probe guidance in 06_prefix_history_and_route_capsule.md; do not repeat the historical arm without changing its declared discriminator.
PFX-003	06_prefix_history_and_route_capsule.md	same-prefix bridge movement is mostly near-target steering, not exact repair	historical_selected_evidence	Claim paragraph and evidence tables in 06_prefix_history_and_route_capsule.md	source_coverage.tsv#output:c1d32dc97c4abd2dfb738f9bcff0c4787969b82d32b04e201cd8c3290e5d53d5;source_coverage.tsv#output:ec851fc88a6899577a2c5b114d31d68a6a7f47d20ee62e55d266565cf6495c9a;source_coverage.tsv#output:99b4ccc3dc564bcc30537fcad7fee5d21ec9d17f33b2daeaee6b2b5dd49be86b	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under PFX-003 in 06_prefix_history_and_route_capsule.md.	In image 19432 x2 GT>5 group intervention, random bridge rows are 21 with 0 flips, 18/21 within one coordinate bin, and 21/21 rank and margin improved; sorted has 2/21 flips and 19/21 within one; pure CE has 0/21 flips and 21/21 within one. Direct 7-row probes have no flips. This is strong local steering evidence with sparse exact correction.	Use the bounded next-probe guidance in 06_prefix_history_and_route_capsule.md; do not repeat the historical arm without changing its declared discriminator.
PFX-004	06_prefix_history_and_route_capsule.md	visual-value reduction is descriptive and weakly generalizing	historical_selected_evidence	Claim paragraph and evidence tables in 06_prefix_history_and_route_capsule.md	source_coverage.tsv#output:c1d32dc97c4abd2dfb738f9bcff0c4787969b82d32b04e201cd8c3290e5d53d5;source_coverage.tsv#output:ec851fc88a6899577a2c5b114d31d68a6a7f47d20ee62e55d266565cf6495c9a;source_coverage.tsv#output:e85506a6b3c2a1ffba63508b457c30c3140e26ece96c630303b138d198d4404a	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under PFX-004 in 06_prefix_history_and_route_capsule.md.	The reducer changes train 121→120 rows with 10 top-1 flips and 58 conflicts; validation 361→360 with 0 top-1 flips and 105 conflicts. It is explicitly post-hoc, not a learned or causal visual-value rule.	Use the bounded next-probe guidance in 06_prefix_history_and_route_capsule.md; do not repeat the historical arm without changing its declared discriminator.
PFX-005	06_prefix_history_and_route_capsule.md	termination signatures are real but not stop causality	historical_selected_evidence	Claim paragraph and evidence tables in 06_prefix_history_and_route_capsule.md	source_coverage.tsv#output:c1d32dc97c4abd2dfb738f9bcff0c4787969b82d32b04e201cd8c3290e5d53d5;source_coverage.tsv#output:ec851fc88a6899577a2c5b114d31d68a6a7f47d20ee62e55d266565cf6495c9a;source_coverage.tsv#output:99b4ccc3dc564bcc30537fcad7fee5d21ec9d17f33b2daeaee6b2b5dd49be86b	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under PFX-005 in 06_prefix_history_and_route_capsule.md.	The termination reducer compresses 102 source rows to 7 signatures: 3 late-stop flips, 2 continue basins, and 2 knife-edge boundaries. Example final stop margins are +1.875 and 0.0, but this atlas does not show that the intervention caused stopping; the broader binding continuation tables often remain `max_steps`.	Use the bounded next-probe guidance in 06_prefix_history_and_route_capsule.md; do not repeat the historical arm without changing its declared discriminator.
RESULT-001	11_historical_result_registry.md	Mixed objective was strongest among three historical Stage-1 4B objective families	historical_result	COCO-80 val200; soft CE only, pure CE only, mixed hard CE + soft CE; nominal 768/1024 presets with same underlying 640×640 images.	source_coverage.tsv#progress:184ae03c30fb80e72ce36ef2ed7ed93760214dff3a1c694dfb63cd69e6cd47dc;source_coverage.tsv#progress:1700628808d4a60edc210cd670332848b5b9a69ce5473978e4ea5e90eece3094;source_coverage.tsv#progress:8cc693c955b721a0aa97d3e9920f559ad99b1c75c6cc32e38a749826d0919cde	-	Historical result; not a resolution ablation. `stage1_4b_coco80_objective_comparison`	COCO-80 val200; soft CE only, pure CE only, mixed hard CE + soft CE; nominal 768/1024 presets with same underlying 640×640 images.	`progress/stage1_coco80_eval_4b_ckpts_768_vs_1024_2026-02-26.md`; historical `output/bench/*` roots.	Run only a matched follow-up inside comparable group Historical result; not a resolution ablation. `stage1_4b_coco80_objective_comparison` with raw artifacts and declared denominators.
RESULT-002	11_historical_result_registry.md	Mixed-objective coord-token checkpoint 1332 reached the strongest historical coordinate-token val200 AP in the snapshot	historical_result	COCO 1024 val200; checkpoint 1332, repetition-penalty sweep.	source_coverage.tsv#progress:8cc693c955b721a0aa97d3e9920f559ad99b1c75c6cc32e38a749826d0919cde;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#progress:406d4df46f02b3f8e65639aa1c7dd8fc1f6cee1bb7504bef55440489b8132633	-	Historical snapshot; group `coord_token_rp_sweep`.	COCO 1024 val200; checkpoint 1332, repetition-penalty sweep.	`progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`; infer root named in its table.	Run only a matched follow-up inside comparable group Historical snapshot; group `coord_token_rp_sweep`. with raw artifacts and declared denominators.
RESULT-003	11_historical_result_registry.md	Coverage-ledger postmerge aligner DoRA checkpoint 928 was the strongest listed closed-wrapper/compact-full row in that snapshot	historical_result	COCO 1024 `bbox_max60`, compact-object-box-closed, sorted, val200, checkpoint 928.	source_coverage.tsv#progress:8cc693c955b721a0aa97d3e9920f559ad99b1c75c6cc32e38a749826d0919cde;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#progress:406d4df46f02b3f8e65639aa1c7dd8fc1f6cee1bb7504bef55440489b8132633	-	Historical; group `compact_full_closed_wrapper`.	COCO 1024 `bbox_max60`, compact-object-box-closed, sorted, val200, checkpoint 928.	Training root and inference root are recorded at lines 109–125 of the coordinate-token benchmark snapshot.	Run only a matched follow-up inside comparable group Historical; group `compact_full_closed_wrapper`. with raw artifacts and declared denominators.
RESULT-004	11_historical_result_registry.md	CoordExp-Swift step 917 improved over its step 459 comparator on one val200 run but remained below stronger historical rows	historical_result	Qwen3-VL 2B, DoRA r16/a32, EBS64 step917 vs EBS128 step459, coordinate-token/geo-sorted val200.	source_coverage.tsv#output:e8e5292758323cd736a55dc68c5bf567ae7cd66ff313e50da31a663c8f9875e1;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084	-	Historical paired result; group `coordexp_swift_step917_vs459`.	Qwen3-VL 2B, DoRA r16/a32, EBS64 step917 vs EBS128 step459, coordinate-token/geo-sorted val200.	`progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`; infer roots in rows 74 and 78.	Run only a matched follow-up inside comparable group Historical paired result; group `coordexp_swift_step917_vs459`. with raw artifacts and declared denominators.
RESULT-005	11_historical_result_registry.md	Hard CE RP1.10 was the clean winner inside one coord-component ablation, while combined soft+hard CE was lower	historical_result	2B adapter-loaded coord tokens, COCO 1024 LVIS-proxy first 200, desc-first sorted, fixed decode except RP arm.	source_coverage.tsv#progress:3d8a00d50a1e1a047e17b3ec763ac77d35156e1c86c1c791d90e76d028abdf5f;source_coverage.tsv#progress:3cd2e3bf0aa25eafa7b1a975258410034aeca8d30fb299aad9a176fc93eda1d3;source_coverage.tsv#progress:184ae03c30fb80e72ce36ef2ed7ed93760214dff3a1c694dfb63cd69e6cd47dc	-	Historical proxy result; strict/plausible views are not standard COCO. `stage1_2b_coord_component_rp_sweep`.	2B adapter-loaded coord tokens, COCO 1024 LVIS-proxy first 200, desc-first sorted, fixed decode except RP arm.	`progress/benchmarks/2026-05-07_stage1_2b_coord_component_rp110_ablation.md`.	Run only a matched follow-up inside comparable group Historical proxy result; strict/plausible views are not standard COCO. `stage1_2b_coord_component_rp_sweep`. with raw artifacts and declared denominators.
RESULT-006	11_historical_result_registry.md	Mixed-objective checkpoint 1332 had healthy val64 output surface and bounded Oracle-K recovery	historical_result	Adapter-runtime checkpoint 1332; matched val200 plus val64 verifier/Oracle-K/recall lanes.	source_coverage.tsv#progress:8cc693c955b721a0aa97d3e9920f559ad99b1c75c6cc32e38a749826d0919cde;source_coverage.tsv#progress:406d4df46f02b3f8e65639aa1c7dd8fc1f6cee1bb7504bef55440489b8132633;source_coverage.tsv#progress:b719064e39af1f944ad13e601880a58c94ff283044a09b033cc4f8b62af5dde5	-	Historical checkpoint probe; group `mixed_objective_sota_checkpoint_probe`.	Adapter-runtime checkpoint 1332; matched val200 plus val64 verifier/Oracle-K/recall lanes.	`progress/benchmarks/2026-04-21_mixed_objective_sota_checkpoint_probe.md`; copied diagnostic artifact summaries under `progress/diagnostics/artifacts/...`.	Run only a matched follow-up inside comparable group Historical checkpoint probe; group `mixed_objective_sota_checkpoint_probe`. with raw artifacts and declared denominators.
RESULT-007	11_historical_result_registry.md	Native Qwen3-VL text-coordinate baseline improved with low-temperature sampling and RP1.10 but retained severe burst failures	historical_result	Original pretrained Qwen3-VL, explicit COCO-80 prompt, val200, eight ranks; greedy max2048 vs temp0.01 max3084 RP sweep.	source_coverage.tsv#output:e8e5292758323cd736a55dc68c5bf567ae7cd66ff313e50da31a663c8f9875e1;source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44	-	Historical ecological baseline; not causal serialization evidence. `native_text_coordinate_val200`.	Original pretrained Qwen3-VL, explicit COCO-80 prompt, val200, eight ranks; greedy max2048 vs temp0.01 max3084 RP sweep.	`outputs/research/qwen3-vl-native-text-coordinate-val200/benchmark.md`.	Run only a matched follow-up inside comparable group Historical ecological baseline; not causal serialization evidence. `native_text_coordinate_val200`. with raw artifacts and declared denominators.
RESULT-008	11_historical_result_registry.md	Stage-2 `ul_res_1024-v2` had stronger best-of-K recoverability than earlier related arms but carried UL-fix and truncation confounds	historical_result	COCO first-200, K=8, four temperatures, two seeds; three related high-res Stage-2 checkpoints.	source_coverage.tsv#progress:b719064e39af1f944ad13e601880a58c94ff283044a09b033cc4f8b62af5dde5;source_coverage.tsv#progress:184ae03c30fb80e72ce36ef2ed7ed93760214dff3a1c694dfb63cd69e6cd47dc;source_coverage.tsv#progress:1700628808d4a60edc210cd670332848b5b9a69ce5473978e4ea5e90eece3094	-	Historical diagnostic; group `stage2_oracle_k_first200`.	COCO first-200, K=8, four temperatures, two seeds; three related high-res Stage-2 checkpoints.	`progress/benchmarks/2026-03-11_stage2_oracle_k_first200.md`; run roots in note.	Run only a matched follow-up inside comparable group Historical diagnostic; group `stage2_oracle_k_first200`. with raw artifacts and declared denominators.
RESULT-009	11_historical_result_registry.md	Stage-2 temperature 0.7 balanced recall/F1 and duplicate tail in a focused refinement	historical_result	`ul_res_1024-v2` checkpoint; first-200 COCO; 2 seeds per temperature.	source_coverage.tsv#progress:d36a0479cfa57ff1fd4422f4da67fcd27ed96eba23a4cfaaf8ac5de680d47084;source_coverage.tsv#progress:8cc693c955b721a0aa97d3e9920f559ad99b1c75c6cc32e38a749826d0919cde;source_coverage.tsv#progress:406d4df46f02b3f8e65639aa1c7dd8fc1f6cee1bb7504bef55440489b8132633	-	Historical policy sweep; group `stage2_temperature_refinement`.	`ul_res_1024-v2` checkpoint; first-200 COCO; 2 seeds per temperature.	`progress/benchmarks/2026-03-11_stage2_rollout_temperature_refinement.md`.	Run only a matched follow-up inside comparable group Historical policy sweep; group `stage2_temperature_refinement`. with raw artifacts and declared denominators.
